nombre_evento,url_evento,codigo_postal,direccion,horario,organizacion,inicio_evento,fin_evento,ciudad
Jornadas de filosofía. La mirada de la lechuza,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=1705e01f5be02910VgnVCM2000001f4a900aRCRD,28037,CALLE SAN ROMAN DEL VALLE 8,,Centro Cultural Antonio Machado (San Blas - Canillejas),2024-10-03,2025-06-26,Madrid
"Julieta, pero no mucho",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=f3ba2c84ecd15910VgnVCM2000001f4a900aRCRD,28022,AVENIDA SEPTIMA 11,19:00,Centro Cultural Ciudad Pegaso (San Blas - Canillejas),2025-03-01,2025-03-01,Madrid
La construcción de Casa del Lector,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=ab7ffa7acf152910VgnVCM1000001d4a900aRCRD,28045,PLAZA LEGAZPI 8,,Matadero Madrid,2024-10-24,2025-06-01,Madrid
La Leyenda del Titanic,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=5ef58c83603a0910VgnVCM1000001d4a900aRCRD,28045,PLAZA LEGAZPI 8,,Matadero Madrid,2024-09-12,2025-07-31,Madrid
La primavera en el mundo macro,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=4090157fd8e15910VgnVCM1000001d4a900aRCRD,28004,CALLE BARCELO 4,08:30,Biblioteca Pública Municipal Mario Vargas Llosa (Centro),2025-02-21,2025-03-28,Madrid
La señorita de Trévelez,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=2f9fb0f8cebe1910VgnVCM1000001d4a900aRCRD,28001,PLAZA COLON 4,,Fernán Gómez Centro Cultural de la Villa,2025-02-16,2025-04-20,Madrid
Laboratorio de Técnicas de Estudio y Clases de Apoyo Escolar,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=912ed305de902910VgnVCM2000001f4a900aRCRD,28021,ACCESO COLONIA MARCONI 4,18:00,Centro Sociocultural Marconi (Villaverde),2024-10-07,2025-04-28,Madrid
Laboratorio infantil: Preparando el Carnaval,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=a00f434865fd4910VgnVCM2000001f4a900aRCRD,28049,Carretera M-607 Km 13 L-10 ,17:00,Centro Sociocultural Montecarmelo (Fuencarral - El Pardo),2025-02-22,2025-03-01,Madrid
Laboratorios ciudadanos: Rescatando la memoria de la Dehesa de la Villa,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=0825a2fa9a3e3910VgnVCM1000001d4a900aRCRD,,,10:00,Centro de Información y Educación Ambiental de Dehesa de la Villa,2025-02-01,2025-03-30,
Las escénicas: taller de teatro para el empoderamiento femenino,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=434f02b68bf54910VgnVCM2000001f4a900aRCRD,28022,PLAZA EURIPIDES 1,16:30,Espacio de Igualdad Lucía Sánchez Saornil. San Blas-Canillejas,2025-01-08,2025-03-26,Madrid
