nombre_evento,url_evento,codigo_postal,direccion,horario,organizacion,inicio_evento,fin_evento,ciudad
25º aniversario de la revista La Fragua,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=1ea220bed10d4910VgnVCM2000001f4a900aRCRD,28005,CALLE SAN JUSTO 5,,Biblioteca Pública Municipal Iván de Vargas (Centro),2025-02-24,2025-03-02,Madrid
60 Premio Reina Sofía de Pintura y Escultura,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=34c5130393e15910VgnVCM2000001f4a900aRCRD,28009,PASEO COLOMBIA 1,,Centro Cultural Casa de Vacas (Retiro),2025-02-27,2025-03-23,Madrid
A toda vela,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=59d5e7da8b822910VgnVCM1000001d4a900aRCRD,28045,PLAZA LEGAZPI 8,,Matadero Madrid,2024-10-01,2025-06-01,Madrid
Acompañamiento digital a personas mayores,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=5b58d89ad2232910VgnVCM2000001f4a900aRCRD,,,,,2024-10-14,2025-06-30,
Acompañar en la pérdida,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=197023e4c84d3910VgnVCM2000001f4a900aRCRD,28029,AVENIDA MONFORTE DE LEMOS 38,17:00,Biblioteca Pública Municipal José Saramago (Fuencarral-El Pardo),2025-01-14,2025-06-17,Madrid
Activas en compañía: gimnasia de mantenimiento,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=f93102b68bf54910VgnVCM2000001f4a900aRCRD,28022,PLAZA EURIPIDES 1,12:00,Espacio de Igualdad Lucía Sánchez Saornil. San Blas-Canillejas,2025-01-13,2025-03-31,Madrid
Actividades del Centro Cultural Casa del Reloj,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=1df19c4490405910VgnVCM1000001d4a900aRCRD,28045,PASEO CHOPERA 6,,Centro Cultural Casa del Reloj (Arganzuela),2025-02-19,2025-03-13,Madrid
Actividades mensuales de los centros de mayores del distrito Hortaleza,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=315479485bdeb810VgnVCM1000001d4a900aRCRD,,,,,2024-02-01,2025-07-13,
Amantes de las series,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=fab111c60bad4910VgnVCM2000001f4a900aRCRD,28045,PASEO CHOPERA 10,17:30,Espacio de Igualdad Juana Doña. Arganzuela,2025-02-19,2025-03-12,Madrid
Andrea Canepa «Wasi qaymi (Lugar y tacto)»,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=45f102a2fa0e1910VgnVCM1000001d4a900aRCRD,28015,CALLE CONDE DUQUE 9,,Centro de Cultura Contemporánea Conde Duque,2025-02-28,2025-05-18,Madrid
Apoyo a la autonomía,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=1e67f7a45c701910VgnVCM1000001d4a900aRCRD,,,,,2024-09-13,2025-06-20,
Artificios teatrales. La escena musical de los felices veinte,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=6ed5f65f96c83910VgnVCM1000001d4a900aRCRD,28015,CALLE AMANIEL 29,,Centro Cultural Clara del Rey - Museo ABC (Centro),2024-10-16,2025-03-08,Madrid
ArTrics - Laboratorio de Creación 2024/25,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=7ae9c00a26e12910VgnVCM1000001d4a900aRCRD,,,,,2024-10-01,2025-07-31,
Asalto a la lectura. Tres cerditos y más,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=6aec3e3332fe4910VgnVCM1000001d4a900aRCRD,28015,CALLE AMANIEL 29,11:00,Centro Cultural Clara del Rey - Museo ABC (Centro),2025-03-01,2025-03-01,Madrid
Asombro,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=85b965d37f624910VgnVCM1000001d4a900aRCRD,28045,PLAZA LEGAZPI 8,,Matadero Madrid,2025-01-18,2025-03-23,Madrid
Atlantiques + Dahomey,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=3b9464926f415910VgnVCM1000001d4a900aRCRD,28045,PLAZA LEGAZPI 8,19:30,Cineteca Madrid,2025-03-01,2025-03-01,Madrid
Baile de Carnaval. Concierto de Origen,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=1551fcf4aade4910VgnVCM2000001f4a900aRCRD,,,19:30,,2025-03-01,2025-03-01,
Baile de Carnaval. Concierto de Versioneta,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=ae02fcf4aade4910VgnVCM2000001f4a900aRCRD,,,21:15,,2025-03-01,2025-03-01,
Baile de Mayores en Centro Cultural Almirante Churruca,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=beaf2f9cb66d1610VgnVCM2000001f4a900aRCRD,28024,CALLE FUENTE DEL TIRO 72,16:30,Centro Sociocultural Almirante Churruca (Latina),2024-10-04,2025-06-27,Madrid
Baile de Mayores en Centro Sociocultural El Greco,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=77922f9cb66d1610VgnVCM2000001f4a900aRCRD,28011,CALLE EL GRECO 29,18:00,Centro Sociocultural El Greco (Latina),2024-10-03,2025-06-26,Madrid
Beethoven. Del corazón al corazón,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=3cd9168eeb173910VgnVCM1000001d4a900aRCRD,28014,CALLE ALAMEDA 15,,Espacio Cultural Serrería Belga,2024-12-03,2025-03-30,Madrid
Biblioajedrez,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=37340defdf5e1910VgnVCM2000001f4a900aRCRD,28024,CALLE GRANJA DE TORREHERMOSA 1,18:00,Biblioteca Pública Municipal Ángel González (Latina),2024-09-30,2025-05-26,Madrid
Bodegones y Madrid,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=a903ec7bdcf54910VgnVCM1000001d4a900aRCRD,28022,CALLE FEBRERO 4,,Centro Cultural José Luis López Vázquez (San Blas - Canillejas),2025-02-01,2025-03-31,Madrid
Caminamos juntas,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=a54e02b68bf54910VgnVCM2000001f4a900aRCRD,28022,PLAZA EURIPIDES 1,10:30,Espacio de Igualdad Lucía Sánchez Saornil. San Blas-Canillejas,2025-01-07,2025-03-25,Madrid
Camino hacia la autonomía financiera,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=8b24e4778bbc4910VgnVCM2000001f4a900aRCRD,28045,PASEO CHOPERA 10,10:30,Espacio de Igualdad Juana Doña. Arganzuela,2025-02-12,2025-03-05,Madrid
Campamento de carnaval y fiestas del mundo,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=c61c239147bd4910VgnVCM2000001f4a900aRCRD,28028,CALLE BOSTON 3,,Colegio Público Guindalera,2025-02-28,2025-03-03,Madrid
Campamentos urbanos Días sin cole. Distrito San Blas - Canillejas,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=7859110d84384910VgnVCM2000001f4a900aRCRD,28022,AVENIDA CANILLEJAS A VICALVARO 56,,Colegio Público Alberto Alcocer,2025-02-28,2025-03-03,Madrid
Caperucita camina sola,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=1166d242f8884910VgnVCM2000001f4a900aRCRD,,,,,2025-02-20,2025-03-09,
Carnaval en Matadero,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=38950d5a68815910VgnVCM2000001f4a900aRCRD,28045,PLAZA LEGAZPI 8,10:30,Matadero Madrid,2025-03-01,2025-03-01,Madrid
Centro de Interpretación del Paisaje de la Luz,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=842dc5eb8e915810VgnVCM1000001d4a900aRCRD,28014,PLAZA CIBELES 1,,CentroCentro,2022-12-14,2026-01-14,Madrid
Centro de Mayores La Platanera. Concurso de Disfraces y Baile con Orquesta,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=41f2ce6eb6ef4910VgnVCM1000001d4a900aRCRD,28021,CALLE CONCEPCION DE LA OLIVA 1,21:30,Centro Municipal de Mayores La Platanera,2025-03-01,2025-03-01,Madrid
Centro de Mayores Nuestra Señora de los Ángeles. Concurso de disfraces y Baile con Orquesta,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=f101ce6eb6ef4910VgnVCM1000001d4a900aRCRD,28041,CALLE ARAMA 1,21:30,Centro Municipal de Mayores Nuestra Señora de los Ángeles,2025-03-01,2025-03-01,Madrid
Chatines. Club de lectura infantil,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=146e23279fad4910VgnVCM1000001d4a900aRCRD,28036,CALLE MANUEL FERRERO 1,17:30,Biblioteca Pública Municipal Dámaso Alonso (Chamartín),2025-02-27,2025-06-19,Madrid
Chup-Chup,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=e4cc2c84ecd15910VgnVCM2000001f4a900aRCRD,28022,CALLE FEBRERO 4,19:00,Centro Cultural José Luis López Vázquez (San Blas - Canillejas),2025-03-01,2025-03-01,Madrid
Ciclismo por Madrid,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=db40e3f0c91ea710VgnVCM2000001f4a900aRCRD,,,00:00,,2024-09-01,2025-06-30,
Cine familiar,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=d4fd2e979f0a0910VgnVCM2000001f4a900aRCRD,28045,PLAZA LEGAZPI 8,,Cineteca Madrid,2024-09-15,2025-06-29,Madrid
Círculo de ciudadanos,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=ba197bfae6da4910VgnVCM2000001f4a900aRCRD,28029,AVENIDA MONFORTE DE LEMOS 38,17:00,Biblioteca Pública Municipal José Saramago (Fuencarral-El Pardo),2025-02-11,2025-12-16,Madrid
Club de lectura,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=4b66106762794910VgnVCM1000001d4a900aRCRD,28037,CALLE SAN ROMAN DEL VALLE 8,11:00,Biblioteca Pública Municipal San Blas (San Blas-Canillejas),2024-09-25,2025-06-04,Madrid
Club de lectura,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=e1b3ae3a19a23910VgnVCM1000001d4a900aRCRD,28025,CALLE GENERAL RICARDOS 252,12:00,Biblioteca Pública Municipal La Chata (Carabanchel),2024-11-04,2025-06-16,Madrid
Club de lectura,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=a0fd177728c21910VgnVCM2000001f4a900aRCRD,28053,CALLE PUERTO DEL MONASTERIO 1,10:00,Biblioteca Pública Municipal Vallecas (Puente de Vallecas),2024-09-27,2025-06-13,Madrid
Club de lectura de novela gráfica. Premios Nacionales de cómic,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=f5210dae9a6da810VgnVCM2000001f4a900aRCRD,28039,CALLE FRANCOS RODRIGUEZ 67,14:45,Biblioteca Pública Municipal Manuel Vázquez Montalbán (Tetuán),2024-09-24,2025-05-27,Madrid
Club de lectura en BPM María Zambrano,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=f6dc84c649ef4910VgnVCM2000001f4a900aRCRD,28029,PLAZA DONOSO 5,11:00,Biblioteca Pública Municipal María Zambrano (Tetuán),2025-02-19,2025-06-25,Madrid
Club de lectura en inglés 'Reading Club',http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=dc99b2481b1e1910VgnVCM2000001f4a900aRCRD,28002,CALLE MANTUANO 51,19:00,Biblioteca Pública Municipal Francisco Ibáñez (Chamartín),2024-10-08,2025-04-29,Madrid
Club de lectura en inglés 'Reading Club',http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=64c2b01c7d402910VgnVCM1000001d4a900aRCRD,28005,CALLE SAN JUSTO 5,19:00,Biblioteca Pública Municipal Iván de Vargas (Centro),2024-10-08,2025-04-29,Madrid
Club de lectura en inglés 'Reading Club',http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=4e37c32aae520910VgnVCM2000001f4a900aRCRD,28004,CALLE BARCELO 4,19:00,Biblioteca Pública Municipal Mario Vargas Llosa (Centro),2024-10-07,2025-04-28,Madrid
Club de lectura en inglés 'Reading Club',http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=663cb2481b1e1910VgnVCM2000001f4a900aRCRD,28022,CALLE MARIA SEVILLA DIAGO 15,19:00,Biblioteca Pública Municipal José Hierro (San Blas-Canillejas),2024-10-08,2025-04-29,Madrid
Club de lectura Naomi Klein,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=342b3a03802e2910VgnVCM1000001d4a900aRCRD,28005,CALLE SAN JUSTO 5,19:00,Biblioteca Pública Municipal Iván de Vargas (Centro),2025-01-29,2025-05-28,Madrid
Club de lectura 'Amigas de las letras'. Espacio de Igualdad Carme Chacón,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=9da8470052eb2910VgnVCM2000001f4a900aRCRD,28043,CALLE MATAPOZUELOS 2,17:00,Espacio de Igualdad Carme Chacón. Hortaleza,2025-01-09,2025-03-27,Madrid
Club de lectura 'Veinte deseos',http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=b75aa37147a02910VgnVCM2000001f4a900aRCRD,28022,CALLE MARIA SEVILLA DIAGO 15,19:00,Biblioteca Pública Municipal José Hierro (San Blas-Canillejas),2024-10-02,2025-06-25,Madrid
Club de lectura (infantil),http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=0c4bf9ea99e61910VgnVCM2000001f4a900aRCRD,28028,AVENIDA TOREROS 5,18:00,Biblioteca Pública Municipal David Gistau (Salamanca),2024-09-30,2025-06-09,Madrid
Club de lectura (infantil),http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=03cbf9ea99e61910VgnVCM2000001f4a900aRCRD,28050,CALLE PRINCESA DE EBOLI 29,18:00,Biblioteca Pública Municipal María Lejárraga (Hortaleza),2024-10-24,2025-06-19,Madrid
Club de lectura (infantil),http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=6304ee4e073b2910VgnVCM1000001d4a900aRCRD,28041,AVENIDA SAN FERMIN 10,18:00,Biblioteca Pública Municipal San Fermín (Usera),2024-10-02,2025-06-18,Madrid
Club de lectura. Retiro,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=d5e34dbe8f624910VgnVCM2000001f4a900aRCRD,28007,PLAZA DAOIZ Y VELARDE 2,18:00,Centro Sociocultural Clara Campoamor (Retiro),2025-01-16,2025-05-29,Madrid
Club de lectura: autoras africanas,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=c278a6f664cb4910VgnVCM2000001f4a900aRCRD,28007,CALLE ARREGUI Y ARUEJ 31,17:30,Espacio de Igualdad Elena Arnedo Soriano. Retiro,2025-02-13,2025-03-27,Madrid
Club de novela Negra 2024- 2025,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=a1bec556bb451910VgnVCM2000001f4a900aRCRD,28001,CALLE GOYA 1,,Centro Cultural Emilia Pardo Bazán (Salamanca),2024-09-01,2025-06-30,Madrid
Coder Dojo · Grupo de trabajo 2024-2025,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=8c98b60f928d2910VgnVCM1000001d4a900aRCRD,28045,PASEO CHOPERA 14,,Medialab Matadero,2024-11-16,2025-07-26,Madrid
Colección de ilustraciones Presente Continú0. Cosmo,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=98e33e8ae27a4910VgnVCM1000001d4a900aRCRD,28045,PASEO CHOPERA 10,,Sala de exposiciones La Lonja. Centro Cultural Casa del Reloj (Arganzuela),2025-02-24,2025-03-15,Madrid
Concurso de disfraces,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=dc29318cb1405910VgnVCM2000001f4a900aRCRD,28015,CALLE GALILEO 39,,Centro Cultural Galileo (Chamberí),2025-03-02,2025-03-02,Madrid
Conectores de la luz,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=fae4ebbe36624910VgnVCM1000001d4a900aRCRD,28045,PLAZA LEGAZPI 8,,Matadero Madrid,2025-01-18,2025-03-23,Madrid
Construimos herramientas para el empoderamiento,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=d48ab1ed8d964910VgnVCM2000001f4a900aRCRD,28022,PLAZA EURIPIDES 1,18:15,Espacio de Igualdad Lucía Sánchez Saornil. San Blas-Canillejas,2025-01-08,2025-03-26,Madrid
Correr por Madrid,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=712a8daaa32d4710VgnVCM1000001d4a900aRCRD,,,00:00,,2024-09-01,2025-06-30,
Cuatro historias de alquiler,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=3171a8c219315910VgnVCM2000001f4a900aRCRD,28022,CALLE BOLTAÑA 27,19:00,Centro Cultural Buero Vallejo (San Blas - Canillejas),2025-03-01,2025-03-01,Madrid
Cumpleaños,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=ecfee2fc6e6c1910VgnVCM1000001d4a900aRCRD,28012,CALLE PRINCIPE 25,18:30,Teatro Español,2025-02-27,2025-03-09,Madrid
Curso sobre la historia del Barrio del Pilar,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=c826b7021b7b1910VgnVCM2000001f4a900aRCRD,28029,AVENIDA MONFORTE DE LEMOS 38,11:30,Biblioteca Pública Municipal José Saramago (Fuencarral-El Pardo),2024-10-14,2025-04-28,Madrid
De Casa de Campo a Madrid Río I,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=f213099c7c2d8810VgnVCM2000001f4a900aRCRD,28011,PARQUE CASA DE CAMPO (JUNTO AL EMBARCADERO DEL LAGO) ,11:00,Centro de Información y Educación Ambiental de Casa de Campo,2025-03-01,2025-03-01,Madrid
Desfile con charanga y taller de máscaras,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=1849318cb1405910VgnVCM2000001f4a900aRCRD,28015,CALLE GALILEO 39,,Centro Cultural Galileo (Chamberí),2025-03-02,2025-03-02,Madrid
Días no lectivos 28 de febrero y 3 marzo. Campamento Urbano de Villaverde,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=aae7755c2a384910VgnVCM2000001f4a900aRCRD,,,,,2025-02-28,2025-03-03,
Días sin cole 28 de febrero y 3 de marzo 2025. Distrito de Chamartín,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=2d85672756474910VgnVCM1000001d4a900aRCRD,,,,,2025-02-28,2025-03-03,
Educación pública,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=3b349c4490405910VgnVCM1000001d4a900aRCRD,28029,PLAZA DONOSO 5,,Biblioteca Pública Municipal María Zambrano (Tetuán),2025-02-17,2025-03-17,Madrid
Ejercitando nuestro cuerpo,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=603002b68bf54910VgnVCM2000001f4a900aRCRD,28022,PLAZA EURIPIDES 1,10:00,Espacio de Igualdad Lucía Sánchez Saornil. San Blas-Canillejas,2025-01-08,2025-03-26,Madrid
El Bosque de los Recuerdos,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=4eea2ed891ad4910VgnVCM2000001f4a900aRCRD,28029,PLAZA DONOSO 5,11:30,Biblioteca Pública Municipal María Zambrano (Tetuán),2025-02-26,2025-07-23,Madrid
El Retiro a través de la música,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=44d9c0b0864b1810VgnVCM2000001f4a900aRCRD,28009,PASEO FERNAN NUÑEZ 2,11:00,Centro de Información y Educación Ambiental de El Huerto de El Retiro,2025-03-01,2025-03-01,Madrid
Empoderamiento y relax,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=3713582a56f54910VgnVCM1000001d4a900aRCRD,28022,PLAZA EURIPIDES 1,10:00,Espacio de Igualdad Lucía Sánchez Saornil. San Blas-Canillejas,2025-01-08,2025-03-26,Madrid
En calma. Taller de relajación,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=a2c6aed50c190910VgnVCM1000001d4a900aRCRD,28043,CALLE MATAPOZUELOS 2,11:00,Espacio de Igualdad Carme Chacón. Hortaleza,2025-01-13,2025-04-28,Madrid
En compañía de las letras,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=383d2a21725d3910VgnVCM1000001d4a900aRCRD,28029,AVENIDA MONFORTE DE LEMOS 38,11:00,Biblioteca Pública Municipal José Saramago (Fuencarral-El Pardo),2025-01-31,2025-06-27,Madrid
En la alcoba del Sultán,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=3986d58d22984910VgnVCM1000001d4a900aRCRD,28045,PLAZA LEGAZPI 8,,Cineteca Madrid,2025-02-01,2025-03-08,Madrid
Encyclopenglish,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=22533544ae1b4910VgnVCM2000001f4a900aRCRD,28005,CALLE SAN JUSTO 5,19:00,Biblioteca Pública Municipal Iván de Vargas (Centro),2025-01-29,2025-06-25,Madrid
